Operatore,Data,StatoAttivazione,Comune,Provincia,Identificatore
H3G ITALIA,27/10/2003,REALIZZATO,MONFALCONE,UD,1765623646
H3G ITALIA,27/10/2003,REALIZZATO,MONFALCONE,UD,1891490610
H3G ITALIA,04/11/2003,REALIZZATO,MONFALCONE,UD,2635065576
H3G ITALIA,04/11/2003,REALIZZATO,MONFALCONE,UD,2671963383
H3G ITALIA,04/11/2003,REALIZZATO,MONFALCONE,UD,2673027765
H3G ITALIA,19/11/2003,REALIZZATO,MONFALCONE,UD,2426914345
H3G ITALIA,19/11/2003,REALIZZATO,TRIESTE,UD,1795526257
H3G ITALIA,19/11/2003,REALIZZATO,TRIESTE,UD,1795526393
H3G ITALIA,21/11/2003,REALIZZATO,TRIESTE,UD,2155792431
H3G ITALIA,21/11/2003,REALIZZATO,TRASAGHIS,GO,2155792432
H3G ITALIA,11/12/2003,REALIZZATO,TRASAGHIS,GO,2155792433
H3G ITALIA,11/12/2003,REALIZZATO,TRASAGHIS,GO,2155792434
H3G ITALIA,11/12/2003,REALIZZATO,TRASAGHIS,GO,2155792435
H3G ITALIA,24/02/2004,REALIZZATO,TRASAGHIS,GO,2155792436
H3G ITALIA,24/02/2004,REALIZZATO,SEQUALS,GO,2155792437
H3G ITALIA,24/02/2004,REALIZZATO,SEQUALS,GO,2155792438
H3G ITALIA,01/03/2004,REALIZZATO,SEQUALS,GO,2914245654
H3G ITALIA,01/03/2004,REALIZZATO,VENZONE,GO,2914245656
H3G ITALIA,04/03/2004,REALIZZATO,VENZONE,UD,2914245657
H3G ITALIA,04/03/2004,REALIZZATO,VENZONE,UD,2914245658
H3G ITALIA,16/04/2004,REALIZZATO,MONFALCONE,UD,2914245659
H3G ITALIA,16/04/2004,REALIZZATO,MONFALCONE,UD,2914245663
H3G ITALIA,08/06/2004,REALIZZATO,POZZUOLO DEL FRIULI,UD,2914245664
H3G ITALIA,29/07/2004,REALIZZATO,POZZUOLO DEL FRIULI,UD,2914245665
H3G ITALIA,29/07/2004,REALIZZATO,DUINO AURISINA,TS,2914245669
H3G ITALIA,29/07/2004,REALIZZATO,DUINO AURISINA,TS,2914245680
H3G ITALIA,06/08/2004,REALIZZATO,DUINO AURISINA,TS,2914245697
H3G ITALIA,06/08/2004,REALIZZATO,CORDENONS,TS,2914246415
H3G ITALIA,13/09/2004,REALIZZATO,CORDENONS,TS,2914246422
H3G ITALIA,13/09/2004,REALIZZATO,CORDENONS,TS,2914246429
H3G ITALIA,14/09/2004,REALIZZATO,DUINO AURISINA,TS,2914246433
H3G ITALIA,14/09/2004,REALIZZATO,DUINO AURISINA,TS,2914246438
H3G ITALIA,14/09/2004,REALIZZATO,MONFALCONE,TS,2914246439
H3G ITALIA,27/09/2004,REALIZZATO,MONFALCONE,TS,1296085969
H3G ITALIA,27/09/2004,REALIZZATO,FONTANAFREDDA,TS,2551437360
H3G ITALIA,15/10/2004,REALIZZATO,FONTANAFREDDA,TS,2368301814
H3G ITALIA,15/10/2004,REALIZZATO,FONTANAFREDDA,TS,2452642957
H3G ITALIA,15/10/2004,REALIZZATO,CHIUSAFORTE,TS,2452642958
H3G ITALIA,25/10/2004,REALIZZATO,CHIUSAFORTE,TS,2115691475
H3G ITALIA,25/10/2004,REALIZZATO,PONTEBBA,TS,2115691478
H3G ITALIA,25/10/2004,REALIZZATO,PONTEBBA,TS,2155792152
H3G ITALIA,05/11/2004,REALIZZATO,PONTEBBA,UD,2155792153
H3G ITALIA,06/12/2007,REALIZZATO,TOLMEZZO,UD,2155792154
H3G ITALIA,05/11/2004,REALIZZATO,TOLMEZZO,UD,2155792155
H3G ITALIA,05/11/2004,REALIZZATO,TOLMEZZO,UD,2155792156
H3G ITALIA,05/11/2004,REALIZZATO,TARVISIO,UD,2155792157
RFI,29/11/2004,REALIZZATO,TRIESTE,UD,2155792158
H3G ITALIA,29/11/2004,REALIZZATO,TARVISIO,UD,2155792159
H3G ITALIA,29/11/2004,REALIZZATO,RESIUTTA,UD,2155792160
H3G ITALIA,15/12/2004,REALIZZATO,RESIUTTA,UD,2155792161
H3G ITALIA,15/12/2004,REALIZZATO,UDINE,UD,2155792162
H3G ITALIA,15/12/2004,REALIZZATO,UDINE,UD,2155792163
H3G ITALIA,07/01/2005,REALIZZATO,UDINE,UD,2155792164
H3G ITALIA,07/01/2005,REALIZZATO,FARRA D'ISONZO,UD,2155792165
H3G ITALIA,07/01/2005,REALIZZATO,FARRA D'ISONZO,UD,2155792166
H3G ITALIA,17/01/2005,REALIZZATO,FARRA D'ISONZO,UD,2155792170
H3G ITALIA,17/01/2005,REALIZZATO,AMARO,UD,2155792176
H3G ITALIA,17/01/2005,REALIZZATO,AMARO,UD,2155792287
H3G ITALIA,22/02/2005,REALIZZATO,AMARO,UD,2155792364
H3G ITALIA,22/02/2005,REALIZZATO,LATISANA,UD,2155792387
H3G ITALIA,24/08/2005,REALIZZATO,LATISANA,UD,2463410229
H3G ITALIA,24/08/2005,REALIZZATO,LATISANA,UD,2155792136
H3G ITALIA,24/08/2005,REALIZZATO,TRIESTE,TS,2155792137
H3G ITALIA,21/11/2005,REALIZZATO,TRIESTE,TS,2155792138
H3G ITALIA,21/11/2005,REALIZZATO,LIGNANO SABBIADORO,TS,2155792139
H3G ITALIA,21/11/2005,REALIZZATO,LIGNANO SABBIADORO,PN,2155792140
H3G ITALIA,23/11/2005,REALIZZATO,LIGNANO SABBIADORO,PN,2155792141
H3G ITALIA,23/11/2005,REALIZZATO,MONFALCONE,PN,2155792142
H3G ITALIA,23/11/2005,REALIZZATO,MONFALCONE,PN,2155792143
H3G ITALIA,12/12/2005,REALIZZATO,MONFALCONE,PN,2155792144
H3G ITALIA,12/12/2005,REALIZZATO,PORDENONE,PN,2155792145
H3G ITALIA,12/12/2005,REALIZZATO,PORDENONE,PN,2155792146
H3G ITALIA,13/02/2006,REALIZZATO,PORDENONE,PN,2155792147
H3G ITALIA,13/02/2006,REALIZZATO,MANZANO,PN,2155792148
H3G ITALIA,13/02/2006,REALIZZATO,MANZANO,UD,2155792149
H3G ITALIA,20/02/2006,REALIZZATO,MANZANO,UD,2155792150
H3G ITALIA,20/02/2006,REALIZZATO,CIVIDALE DEL FRIULI,UD,2155792151
H3G ITALIA,20/02/2006,REALIZZATO,CIVIDALE DEL FRIULI,UD,2952535865
H3G ITALIA,31/03/2006,REALIZZATO,CIVIDALE DEL FRIULI,UD,1296085793
H3G ITALIA,31/03/2006,REALIZZATO,TAVAGNACCO,UD,3625277522
H3G ITALIA,31/03/2006,REALIZZATO,TAVAGNACCO,PN,2463410204
H3G ITALIA,11/04/2006,REALIZZATO,TAVAGNACCO,PN,2463410205
H3G ITALIA,11/04/2006,REALIZZATO,TRIESTE,PN,2463410223
H3G ITALIA,13/09/2006,REALIZZATO,TRIESTE,PN,2490212415
H3G ITALIA,13/09/2006,REALIZZATO,TRIESTE,PN,2485778248
H3G ITALIA,14/09/2006,REALIZZATO,CAVAZZO CARNICO,PN,2426914360
H3G ITALIA,14/09/2006,REALIZZATO,CAVAZZO CARNICO,UD,2426914364
H3G ITALIA,14/09/2006,REALIZZATO,CHIUSAFORTE,PN,2452642936
H3G ITALIA,14/09/2006,REALIZZATO,CHIUSAFORTE,PN,2452642956
H3G ITALIA,14/09/2006,REALIZZATO,PONTEBBA,PN,2461992896
H3G ITALIA,14/09/2006,REALIZZATO,PONTEBBA,PN,2461992905
H3G ITALIA,06/12/2006,REALIZZATO,PONTEBBA,PN,2461992906
H3G ITALIA,06/12/2006,REALIZZATO,MOGGIO UDINESE,PN,2461992910
H3G ITALIA,06/12/2006,REALIZZATO,MOGGIO UDINESE,PN,2462749386
H3G ITALIA,06/11/2007,REALIZZATO,MOGGIO UDINESE,PN,2462749387
H3G ITALIA,06/11/2007,REALIZZATO,TOLMEZZO,PN,2462749421
H3G ITALIA,06/11/2007,REALIZZATO,TOLMEZZO,PN,2462749447
H3G ITALIA,21/08/2008,REALIZZATO,TOLMEZZO,PN,2456491955
H3G ITALIA,21/08/2008,REALIZZATO,AQUILEIA,PN,2464692564
H3G ITALIA,21/08/2008,REALIZZATO,AQUILEIA,PN,2471588314
H3G ITALIA,16/10/2009,REALIZZATO,AQUILEIA,PN,2471588320
H3G ITALIA,16/10/2009,REALIZZATO,PALMANOVA,PN,1141155323
H3G ITALIA,16/10/2009,REALIZZATO,PALMANOVA,UD,2503255429
H3G ITALIA,05/10/2010,REALIZZATO,PALMANOVA,UD,2510860911
H3G ITALIA,05/10/2010,REALIZZATO,TRICESIMO,UD,2452642955
H3G ITALIA,05/10/2010,REALIZZATO,TRICESIMO,UD,2010541613
H3G ITALIA,11/11/2010,REALIZZATO,TRICESIMO,UD,2564538040
H3G ITALIA,11/11/2010,REALIZZATO,MONFALCONE,UD,2484335825
H3G ITALIA,11/11/2010,REALIZZATO,MONFALCONE,UD,1141187102
H3G ITALIA,24/11/2010,REALIZZATO,MONFALCONE,UD,1141187110
H3G ITALIA,24/11/2010,REALIZZATO,TOLMEZZO,UD,1141190207
H3G ITALIA,24/11/2010,REALIZZATO,TOLMEZZO,UD,1141190209
H3G ITALIA,01/12/2010,REALIZZATO,TOLMEZZO,UD,1141190210
H3G ITALIA,01/12/2010,REALIZZATO,SAN DORLIGO DELLA VALLE,UD,1141190225
H3G ITALIA,01/12/2010,REALIZZATO,SAN DORLIGO DELLA VALLE,UD,1141190227
H3G ITALIA,19/01/2011,REALIZZATO,SAN DORLIGO DELLA VALLE,UD,1141190230
H3G ITALIA,19/01/2011,REALIZZATO,TRICESIMO,UD,1141190231
H3G ITALIA,19/01/2011,REALIZZATO,TRICESIMO,UD,1192444133
H3G ITALIA,12/02/2011,REALIZZATO,TRICESIMO,UD,1192444135
H3G ITALIA,14/03/2011,REALIZZATO,TARVISIO,UD,890210171
H3G ITALIA,14/03/2011,REALIZZATO,TARVISIO,UD,890210266
H3G ITALIA,14/03/2011,REALIZZATO,TARVISIO,UD,1141186993
H3G ITALIA,14/03/2011,REALIZZATO,TORREANO,PN,1141190222
H3G ITALIA,14/03/2011,REALIZZATO,GEMONA DEL FRIULI,PN,1141190223
H3G ITALIA,14/03/2011,REALIZZATO,GEMONA DEL FRIULI,PN,1141190228
H3G ITALIA,24/03/2011,REALIZZATO,GEMONA DEL FRIULI,PN,2189978003
H3G ITALIA,24/03/2011,REALIZZATO,GEMONA DEL FRIULI,PN,3271235704
H3G ITALIA,24/03/2011,REALIZZATO,GEMONA DEL FRIULI,PN,2433713789
H3G ITALIA,24/03/2011,REALIZZATO,GEMONA DEL FRIULI,PN,2433713790
H3G ITALIA,24/03/2011,REALIZZATO,SAN CANZIAN D'ISONZO,PN,2209019262
H3G ITALIA,24/03/2011,REALIZZATO,SAN CANZIAN D'ISONZO,PN,1736971038
H3G ITALIA,28/03/2011,REALIZZATO,SAN CANZIAN D'ISONZO,UD,3346310483
H3G ITALIA,28/03/2011,REALIZZATO,SAN CANZIAN D'ISONZO,UD,2213713962
H3G ITALIA,28/03/2011,REALIZZATO,SAN CANZIAN D'ISONZO,UD,1152632822
H3G ITALIA,28/03/2011,REALIZZATO,SAN CANZIAN D'ISONZO,UD,1904884570
H3G ITALIA,28/03/2011,REALIZZATO,CAPRIVA DEL FRIULI,UD,1325493085
H3G ITALIA,28/03/2011,REALIZZATO,CAPRIVA DEL FRIULI,UD,3200456338
H3G ITALIA,12/04/2011,REALIZZATO,CAPRIVA DEL FRIULI,UD,3198395642
H3G ITALIA,12/04/2011,REALIZZATO,CAPRIVA DEL FRIULI,TS,2359422022
H3G ITALIA,12/04/2011,REALIZZATO,CAPRIVA DEL FRIULI,TS,2473297394
H3G ITALIA,12/04/2011,REALIZZATO,CAPRIVA DEL FRIULI,TS,3753190984
H3G ITALIA,15/04/2011,REALIZZATO,MUGGIA,TS,3503391535
H3G ITALIA,15/04/2011,REALIZZATO,MUGGIA,TS,1785840514
H3G ITALIA,15/04/2011,REALIZZATO,MUGGIA,TS,1297538123
H3G ITALIA,15/04/2011,REALIZZATO,MUGGIA,TS,1434808658
H3G ITALIA,15/04/2011,REALIZZATO,FIUME VENETO,TS,1438873498
H3G ITALIA,15/04/2011,REALIZZATO,FIUME VENETO,TS,1438873509
H3G ITALIA,20/04/2011,REALIZZATO,FIUME VENETO,GO,3256590624
H3G ITALIA,20/04/2011,REALIZZATO,FIUME VENETO,GO,1786938750
H3G ITALIA,20/04/2011,REALIZZATO,FIUME VENETO,GO,2377498249
H3G ITALIA,20/04/2011,REALIZZATO,FIUME VENETO,GO,2377498293
H3G ITALIA,20/04/2011,REALIZZATO,SACILE,GO,2377498313
H3G ITALIA,20/04/2011,REALIZZATO,SACILE,GO,2949735602
H3G ITALIA,27/04/2011,REALIZZATO,SACILE,PN,2956317732
H3G ITALIA,27/04/2011,REALIZZATO,SACILE,PN,2956394357
H3G ITALIA,27/04/2011,REALIZZATO,SACILE,PN,3098626657
H3G ITALIA,27/04/2011,REALIZZATO,SACILE,PN,3098626658
H3G ITALIA,27/04/2011,REALIZZATO,PALMANOVA,PN,3090431763
H3G ITALIA,27/04/2011,REALIZZATO,PALMANOVA,PN,1761493428
H3G ITALIA,29/04/2011,REALIZZATO,PALMANOVA,PN,2284850984
H3G ITALIA,29/04/2011,REALIZZATO,PALMANOVA,PN,2284851042
H3G ITALIA,29/04/2011,REALIZZATO,PALMANOVA,PN,3442615821
H3G ITALIA,29/04/2011,REALIZZATO,PALMANOVA,UD,2558453639
H3G ITALIA,29/04/2011,REALIZZATO,PAVIA DI UDINE,UD,1392854783
H3G ITALIA,29/04/2011,REALIZZATO,PAVIA DI UDINE,UD,2098337779
H3G ITALIA,04/05/2011,REALIZZATO,PAVIA DI UDINE,UD,1392213931
H3G ITALIA,04/05/2011,REALIZZATO,PAVIA DI UDINE,UD,1392214005
H3G ITALIA,04/05/2011,REALIZZATO,PAVIA DI UDINE,UD,2301775116
H3G ITALIA,04/05/2011,REALIZZATO,PAVIA DI UDINE,UD,1215917139
H3G ITALIA,04/05/2011,REALIZZATO,AZZANO DECIMO,UD,3040018672
H3G ITALIA,04/05/2011,REALIZZATO,AZZANO DECIMO,UD,2155792132
H3G ITALIA,06/05/2011,REALIZZATO,AZZANO DECIMO,PN,2155792134
H3G ITALIA,06/05/2011,REALIZZATO,AZZANO DECIMO,PN,2155792127
H3G ITALIA,06/05/2011,REALIZZATO,AZZANO DECIMO,PN,2155792128
H3G ITALIA,06/05/2011,REALIZZATO,AZZANO DECIMO,PN,2155792129
H3G ITALIA,06/05/2011,REALIZZATO,MUGGIA,PN,2155792130
H3G ITALIA,10/05/2011,REALIZZATO,MUGGIA,PN,2155792131
H3G ITALIA,10/05/2011,REALIZZATO,MUGGIA,PN,2155792133
H3G ITALIA,10/05/2011,REALIZZATO,MUGGIA,PN,2155792135
H3G ITALIA,10/05/2011,REALIZZATO,MUGGIA,PN,1215917239
H3G ITALIA,10/05/2011,REALIZZATO,MORTEGLIANO,UD,1286815308
H3G ITALIA,10/05/2011,REALIZZATO,MORTEGLIANO,UD,959267179
H3G ITALIA,31/05/2011,REALIZZATO,MORTEGLIANO,UD,970960610
H3G ITALIA,31/05/2011,REALIZZATO,MORTEGLIANO,UD,1069316388
H3G ITALIA,31/05/2011,REALIZZATO,MORTEGLIANO,UD,2490212412
H3G ITALIA,31/05/2011,REALIZZATO,MORTEGLIANO,UD,2490212413
H3G ITALIA,31/05/2011,REALIZZATO,CASTIONS DI STRADA,PN,2733837026
H3G ITALIA,31/05/2011,REALIZZATO,CASTIONS DI STRADA,PN,1271863324
H3G ITALIA,01/06/2011,REALIZZATO,CASTIONS DI STRADA,PN,3624477319
H3G ITALIA,01/06/2011,REALIZZATO,CASTIONS DI STRADA,PN,1671249929
H3G ITALIA,01/06/2011,REALIZZATO,CASTIONS DI STRADA,PN,2419623864
H3G ITALIA,01/06/2011,REALIZZATO,CASTIONS DI STRADA,PN,1215917593
H3G ITALIA,01/06/2011,REALIZZATO,BASILIANO,PN,1215917647
H3G ITALIA,01/06/2011,REALIZZATO,BASILIANO,PN,1215917700
H3G ITALIA,06/06/2011,REALIZZATO,BASILIANO,PN,1215918322
H3G ITALIA,06/06/2011,REALIZZATO,BASILIANO,PN,2490212414
H3G ITALIA,06/06/2011,REALIZZATO,BASILIANO,PN,3292707411
H3G ITALIA,06/06/2011,REALIZZATO,BASILIANO,PN,2573373530
H3G ITALIA,06/06/2011,REALIZZATO,PRECENICCO,PN,2579438638
H3G ITALIA,06/06/2011,REALIZZATO,PRECENICCO,PN,3038901519
H3G ITALIA,08/06/2011,REALIZZATO,PRECENICCO,PN,3246995305
H3G ITALIA,08/06/2011,REALIZZATO,PRECENICCO,PN,3246995319
H3G ITALIA,08/06/2011,REALIZZATO,PRECENICCO,PN,3885369420
H3G ITALIA,08/06/2011,REALIZZATO,PRECENICCO,PN,3885369421
H3G ITALIA,08/06/2011,DA REALIZZARE,SAN CANZIAN D'ISONZO,GO,1997090703
H3G ITALIA,08/06/2011,DA REALIZZARE,SAN CANZIAN D'ISONZO,GO,3747448162
H3G ITALIA,20/06/2011,DA REALIZZARE,SAN CANZIAN D'ISONZO,GO,291645021
H3G ITALIA,20/06/2011,DA REALIZZARE,SAN CANZIAN D'ISONZO,GO,2842045773
H3G ITALIA,20/06/2011,DA REALIZZARE,SAN CANZIAN D'ISONZO,GO,1352606805
H3G ITALIA,21/06/2011,DA REALIZZARE,SAN CANZIAN D'ISONZO,GO,2037221712
H3G ITALIA,21/06/2011,REALIZZATO,PALAZZOLO DELLO STELLA,GO,3078103791
H3G ITALIA,21/06/2011,REALIZZATO,PALAZZOLO DELLO STELLA,GO,2466086208
H3G ITALIA,21/06/2011,REALIZZATO,PALAZZOLO DELLO STELLA,GO,846716364
H3G ITALIA,21/06/2011,REALIZZATO,AVIANO,UD,2122341716
H3G ITALIA,21/06/2011,REALIZZATO,AVIANO,UD,2087510818
H3G ITALIA,23/06/2011,REALIZZATO,AVIANO,UD,3037549379
H3G ITALIA,23/06/2011,REALIZZATO,AVIANO,UD,3020986827
H3G ITALIA,23/06/2011,REALIZZATO,AVIANO,UD,1840577175
H3G ITALIA,23/06/2011,REALIZZATO,AVIANO,UD,3340876515
H3G ITALIA,23/06/2011,REALIZZATO,CAVASSO NUOVO,UD,1738240734
H3G ITALIA,23/06/2011,REALIZZATO,CAVASSO NUOVO,UD,1319852322
H3G ITALIA,27/06/2011,REALIZZATO,CAVASSO NUOVO,UD,1319852328
H3G ITALIA,27/06/2011,REALIZZATO,CAVASSO NUOVO,UD,1319852329
H3G ITALIA,27/06/2011,REALIZZATO,CAVASSO NUOVO,UD,1319852333
H3G ITALIA,27/06/2011,REALIZZATO,CAVASSO NUOVO,UD,305518393
H3G ITALIA,27/06/2011,REALIZZATO,FIUME VENETO,UD,3608884053
H3G ITALIA,27/06/2011,REALIZZATO,FIUME VENETO,UD,1744351534
H3G ITALIA,28/06/2011,REALIZZATO,FIUME VENETO,UD,2971155417
H3G ITALIA,28/06/2011,REALIZZATO,FIUME VENETO,UD,3406743560
H3G ITALIA,28/06/2011,REALIZZATO,FIUME VENETO,UD,3406743562
H3G ITALIA,28/06/2011,REALIZZATO,FIUME VENETO,UD,3406743565
H3G ITALIA,28/06/2011,REALIZZATO,ROVEREDO IN PIANO,UD,3406743570
H3G ITALIA,28/06/2011,REALIZZATO,ROVEREDO IN PIANO,UD,1566280538
H3G ITALIA,28/06/2011,REALIZZATO,ROVEREDO IN PIANO,UD,3826649554
H3G ITALIA,28/06/2011,REALIZZATO,ROVEREDO IN PIANO,UD,3826650357
H3G ITALIA,28/06/2011,REALIZZATO,ROVEREDO IN PIANO,UD,3715956792
H3G ITALIA,28/06/2011,REALIZZATO,ROVEREDO IN PIANO,UD,2370781439
H3G ITALIA,28/06/2011,REALIZZATO,CHIOPRIS VISCONE,UD,2994712787
H3G ITALIA,28/06/2011,REALIZZATO,CHIOPRIS VISCONE,UD,1837095756
H3G ITALIA,29/06/2011,REALIZZATO,CHIOPRIS VISCONE,UD,1837095758
H3G ITALIA,29/06/2011,REALIZZATO,CHIOPRIS VISCONE,UD,2123195786
H3G ITALIA,29/06/2011,REALIZZATO,CHIOPRIS VISCONE,UD,2783529647
H3G ITALIA,29/06/2011,REALIZZATO,CHIOPRIS VISCONE,UD,1341628367
H3G ITALIA,29/06/2011,REALIZZATO,GONARS,UD,2859620433
H3G ITALIA,29/06/2011,REALIZZATO,GONARS,UD,3018840143
H3G ITALIA,29/06/2011,REALIZZATO,GONARS,UD,3225369531
H3G ITALIA,06/07/2011,REALIZZATO,GONARS,UD,3253623639
H3G ITALIA,06/07/2011,REALIZZATO,GONARS,UD,3225369516
H3G ITALIA,06/07/2011,REALIZZATO,GONARS,UD,2989946649
H3G ITALIA,06/07/2011,REALIZZATO,TARVISIO,UD,1885811027
H3G ITALIA,06/07/2011,REALIZZATO,MOSSA,UD,1745755902
H3G ITALIA,06/07/2011,REALIZZATO,MOSSA,UD,1885811042
H3G ITALIA,06/07/2011,REALIZZATO,MOSSA,UD,1837095757
H3G ITALIA,06/07/2011,REALIZZATO,MOSSA,UD,2123195781
H3G ITALIA,06/07/2011,REALIZZATO,MOSSA,UD,2123195782
H3G ITALIA,06/07/2011,REALIZZATO,MOSSA,UD,2123195784
H3G ITALIA,06/07/2011,REALIZZATO,RAGOGNA,UD,2123195785
H3G ITALIA,06/07/2011,REALIZZATO,RAGOGNA,UD,2783529639
H3G ITALIA,06/07/2011,REALIZZATO,RAGOGNA,TS,2374187393
H3G ITALIA,06/07/2011,REALIZZATO,RAGOGNA,TS,3758148150
H3G ITALIA,06/07/2011,REALIZZATO,RAGOGNA,TS,3758148151
H3G ITALIA,06/07/2011,REALIZZATO,RAGOGNA,TS,1814845529
H3G ITALIA,06/07/2011,REALIZZATO,GORIZIA,PN,841818506
H3G ITALIA,06/07/2011,REALIZZATO,GORIZIA,PN,3758296156
H3G ITALIA,11/07/2011,REALIZZATO,GORIZIA,PN,2370769113
H3G ITALIA,11/07/2011,REALIZZATO,GORIZIA,PN,2068240790
H3G ITALIA,12/08/2011,REALIZZATO,GORIZIA,PN,1718419707
H3G ITALIA,12/08/2011,REALIZZATO,GORIZIA,PN,1738197965
H3G ITALIA,12/08/2011,REALIZZATO,GORIZIA,PN,1828105659
H3G ITALIA,17/08/2011,REALIZZATO,GORIZIA,PN,1831966763
H3G ITALIA,17/08/2011,REALIZZATO,BAGNARIA ARSA,PN,1831966764
H3G ITALIA,17/08/2011,REALIZZATO,BAGNARIA ARSA,UD,1831966765
H3G ITALIA,17/08/2011,REALIZZATO,BAGNARIA ARSA,UD,1838657124
H3G ITALIA,17/08/2011,REALIZZATO,SAN GIORGIO DI NOGARO,UD,1838657155
H3G ITALIA,17/08/2011,REALIZZATO,SAN GIORGIO DI NOGARO,UD,1838657167
H3G ITALIA,22/08/2011,REALIZZATO,SAN GIORGIO DI NOGARO,UD,1838659278
H3G ITALIA,22/08/2011,REALIZZATO,SAN GIORGIO DI NOGARO,UD,2058705012
H3G ITALIA,22/08/2011,REALIZZATO,SAN GIORGIO DI NOGARO,UD,1738200549
H3G ITALIA,22/08/2011,REALIZZATO,SAN GIORGIO DI NOGARO,UD,2103949253
H3G ITALIA,22/08/2011,REALIZZATO,FAEDIS,UD,2103949267
H3G ITALIA,22/08/2011,REALIZZATO,FAEDIS,UD,2103949271
H3G ITALIA,22/08/2011,REALIZZATO,FAEDIS,UD,2103949587
H3G ITALIA,22/08/2011,REALIZZATO,FAEDIS,UD,2419991226
H3G ITALIA,22/08/2011,REALIZZATO,FAEDIS,GO,2419991227
H3G ITALIA,22/08/2011,REALIZZATO,FAEDIS,GO,1370000072
H3G ITALIA,22/08/2011,REALIZZATO,VARMO,GO,2620832031
H3G ITALIA,22/08/2011,REALIZZATO,VARMO,GO,2620832032
H3G ITALIA,12/09/2011,REALIZZATO,VARMO,GO,1835703414
H3G ITALIA,12/09/2011,REALIZZATO,VARMO,GO,3053376789
H3G ITALIA,12/09/2011,REALIZZATO,VARMO,GO,3111112087
H3G ITALIA,13/09/2011,REALIZZATO,VARMO,GO,1828105667
H3G ITALIA,13/09/2011,REALIZZATO,TORREANO,GO,841809966
