Data,StatoAttivazione,Identificatore
15/04/2011,REALIZZATO,1438873509
20/04/2011,REALIZZATO,3256590624
20/04/2011,REALIZZATO,1786938750
20/04/2011,REALIZZATO,2377498249
20/04/2011,REALIZZATO,2377498293
20/04/2011,REALIZZATO,2377498313
20/04/2011,REALIZZATO,2949735602
27/04/2011,REALIZZATO,2956317732
27/04/2011,REALIZZATO,2956394357
27/04/2011,REALIZZATO,3098626657
27/04/2011,REALIZZATO,3098626658
27/04/2011,REALIZZATO,3090431763
27/04/2011,REALIZZATO,1761493428
29/04/2011,REALIZZATO,2284850984
29/04/2011,REALIZZATO,2284851042
29/04/2011,REALIZZATO,3442615821
29/04/2011,REALIZZATO,2558453639
29/04/2011,REALIZZATO,1392854783
29/04/2011,REALIZZATO,2098337779
04/05/2011,REALIZZATO,1392213931
04/05/2011,REALIZZATO,1392214005
04/05/2011,REALIZZATO,2301775116
04/05/2011,REALIZZATO,1215917139
04/05/2011,REALIZZATO,3040018672
04/05/2011,REALIZZATO,2155792132
06/05/2011,REALIZZATO,2155792134
06/05/2011,REALIZZATO,2155792127
06/05/2011,REALIZZATO,2155792128
06/05/2011,REALIZZATO,2155792129
06/05/2011,REALIZZATO,2155792130
10/05/2011,REALIZZATO,2155792131
10/05/2011,REALIZZATO,2155792133
10/05/2011,REALIZZATO,2155792135
10/05/2011,REALIZZATO,1215917239
10/05/2011,REALIZZATO,1286815308
10/05/2011,REALIZZATO,959267179
31/05/2011,REALIZZATO,970960610
31/05/2011,REALIZZATO,1069316388
31/05/2011,REALIZZATO,2490212412
31/05/2011,REALIZZATO,2490212413
31/05/2011,REALIZZATO,2733837026
31/05/2011,REALIZZATO,1271863324
01/06/2011,REALIZZATO,3624477319
01/06/2011,REALIZZATO,1671249929
01/06/2011,REALIZZATO,2419623864
01/06/2011,REALIZZATO,1215917593
01/06/2011,REALIZZATO,1215917647
01/06/2011,REALIZZATO,1215917700
06/06/2011,REALIZZATO,1215918322
06/06/2011,REALIZZATO,2490212414
06/06/2011,REALIZZATO,3292707411
06/06/2011,REALIZZATO,2573373530
06/06/2011,REALIZZATO,2579438638
06/06/2011,REALIZZATO,3038901519
08/06/2011,REALIZZATO,3246995305
08/06/2011,REALIZZATO,3246995319
08/06/2011,REALIZZATO,3885369420
08/06/2011,REALIZZATO,3885369421
08/06/2011,DA REALIZZARE,1997090703
08/06/2011,DA REALIZZARE,3747448162
20/06/2011,DA REALIZZARE,291645021
20/06/2011,DA REALIZZARE,2842045773
20/06/2011,DA REALIZZARE,1352606805
21/06/2011,DA REALIZZARE,2037221712
21/06/2011,REALIZZATO,3078103791
21/06/2011,REALIZZATO,2466086208
21/06/2011,REALIZZATO,846716364
21/06/2011,REALIZZATO,2122341716
21/06/2011,REALIZZATO,2087510818
23/06/2011,REALIZZATO,3037549379
23/06/2011,REALIZZATO,3020986827
23/06/2011,REALIZZATO,1840577175
23/06/2011,REALIZZATO,3340876515
23/06/2011,REALIZZATO,1738240734
23/06/2011,REALIZZATO,1319852322
27/06/2011,REALIZZATO,1319852328
27/06/2011,REALIZZATO,1319852329
27/06/2011,REALIZZATO,1319852333
27/06/2011,REALIZZATO,305518393
27/06/2011,REALIZZATO,3608884053
27/06/2011,REALIZZATO,1744351534
28/06/2011,REALIZZATO,2971155417
28/06/2011,REALIZZATO,3406743560
28/06/2011,REALIZZATO,3406743562
28/06/2011,REALIZZATO,3406743565
28/06/2011,REALIZZATO,3406743570
28/06/2011,REALIZZATO,1566280538
28/06/2011,REALIZZATO,3826649554
28/06/2011,REALIZZATO,3826650357
28/06/2011,REALIZZATO,3715956792
28/06/2011,REALIZZATO,2370781439
28/06/2011,REALIZZATO,2994712787
28/06/2011,REALIZZATO,1837095756
29/06/2011,REALIZZATO,1837095758
29/06/2011,REALIZZATO,2123195786
29/06/2011,REALIZZATO,2783529647
29/06/2011,REALIZZATO,1341628367
29/06/2011,REALIZZATO,2859620433
29/06/2011,REALIZZATO,3018840143
29/06/2011,REALIZZATO,3225369531
06/07/2011,REALIZZATO,3253623639
06/07/2011,REALIZZATO,3225369516
06/07/2011,REALIZZATO,2989946649
06/07/2011,REALIZZATO,1885811027
06/07/2011,REALIZZATO,1745755902
06/07/2011,REALIZZATO,1885811042
06/07/2011,REALIZZATO,1837095757
06/07/2011,REALIZZATO,2123195781
06/07/2011,REALIZZATO,2123195782
06/07/2011,REALIZZATO,2123195784
06/07/2011,REALIZZATO,2123195785
06/07/2011,REALIZZATO,2783529639
06/07/2011,REALIZZATO,2374187393
06/07/2011,REALIZZATO,3758148150
06/07/2011,REALIZZATO,3758148151
06/07/2011,REALIZZATO,1814845529
06/07/2011,REALIZZATO,841818506
06/07/2011,REALIZZATO,3758296156
11/07/2011,REALIZZATO,2370769113
11/07/2011,REALIZZATO,2068240790
12/08/2011,REALIZZATO,1718419707
12/08/2011,REALIZZATO,1738197965
12/08/2011,REALIZZATO,1828105659
17/08/2011,REALIZZATO,1831966763
17/08/2011,REALIZZATO,1831966764
17/08/2011,REALIZZATO,1831966765
17/08/2011,REALIZZATO,1838657124
17/08/2011,REALIZZATO,1838657155
17/08/2011,REALIZZATO,1838657167
22/08/2011,REALIZZATO,1838659278
22/08/2011,REALIZZATO,2058705012
22/08/2011,REALIZZATO,1738200549
22/08/2011,REALIZZATO,2103949253
22/08/2011,REALIZZATO,2103949267
22/08/2011,REALIZZATO,2103949271
22/08/2011,REALIZZATO,2103949587
22/08/2011,REALIZZATO,2419991226
22/08/2011,REALIZZATO,2419991227
22/08/2011,REALIZZATO,1370000072
22/08/2011,REALIZZATO,2620832031
22/08/2011,REALIZZATO,2620832032
12/09/2011,REALIZZATO,1835703414
12/09/2011,REALIZZATO,3053376789
12/09/2011,REALIZZATO,3111112087
13/09/2011,REALIZZATO,1828105667
13/09/2011,REALIZZATO,841809966
13/09/2011,REALIZZATO,1322783235
13/09/2011,REALIZZATO,1322783278
13/09/2011,REALIZZATO,2638812367
13/09/2011,REALIZZATO,1943034917
15/09/2011,REALIZZATO,1738240164
15/09/2011,REALIZZATO,1738240165
15/09/2011,REALIZZATO,3149649084
15/09/2011,REALIZZATO,2316429768
15/09/2011,REALIZZATO,1837078134
15/09/2011,REALIZZATO,1837078135
16/09/2011,REALIZZATO,1837078136
16/09/2011,REALIZZATO,1837078137
16/09/2011,REALIZZATO,1837078138
16/09/2011,REALIZZATO,1838228350
16/09/2011,REALIZZATO,1937162304
16/09/2011,REALIZZATO,1937162304
20/09/2011,REALIZZATO,1120550590
20/09/2011,REALIZZATO,3610490571
20/09/2011,REALIZZATO,530526914
20/09/2011,REALIZZATO,541391298
20/09/2011,REALIZZATO,1799258463
20/09/2011,REALIZZATO,330291069
20/09/2011,REALIZZATO,1928890181
20/09/2011,REALIZZATO,1345803264
20/09/2011,REALIZZATO,3125918874
23/09/2011,REALIZZATO,3125918876
23/09/2011,REALIZZATO,3125920351
23/09/2011,REALIZZATO,3125920352
23/09/2011,REALIZZATO,3577352216
23/09/2011,REALIZZATO,3577352511
23/09/2011,REALIZZATO,3577352231
26/09/2011,REALIZZATO,3125920348
26/09/2011,REALIZZATO,3212723854
26/09/2011,REALIZZATO,3263050174
26/09/2011,REALIZZATO,3263070315
26/09/2011,REALIZZATO,3294371608
26/09/2011,REALIZZATO,3294446946
26/09/2011,REALIZZATO,3294445146
26/09/2011,REALIZZATO,3294447485
26/09/2011,REALIZZATO,1749636989
26/09/2011,REALIZZATO,3296399790
26/09/2011,REALIZZATO,3296390434
26/09/2011,REALIZZATO,3296389886
28/09/2011,REALIZZATO,3296390862
28/09/2011,REALIZZATO,3296390286
28/09/2011,REALIZZATO,3577348464
28/09/2011,REALIZZATO,3577348469
28/09/2011,REALIZZATO,3615839384
28/09/2011,REALIZZATO,1241328394
29/09/2011,REALIZZATO,3280496647
29/09/2011,REALIZZATO,3280496648
29/09/2011,REALIZZATO,2522961234
29/09/2011,REALIZZATO,2949353990
29/09/2011,REALIZZATO,2949355936
29/09/2011,REALIZZATO,3271222751
29/09/2011,REALIZZATO,2571246699
29/09/2011,REALIZZATO,2751725113
29/09/2011,REALIZZATO,3221879869
29/09/2011,REALIZZATO,2753550626
29/09/2011,REALIZZATO,2753550642
03/10/2011,REALIZZATO,2753583120
03/10/2011,REALIZZATO,2753611434
03/10/2011,REALIZZATO,2769479947
03/10/2011,REALIZZATO,2817882055
03/10/2011,REALIZZATO,3221879870
03/10/2011,REALIZZATO,3221880044
05/10/2011,REALIZZATO,3221880091
05/10/2011,REALIZZATO,3221883054
05/10/2011,REALIZZATO,3265024164
05/10/2011,REALIZZATO,3265023887
11/10/2011,REALIZZATO,3400476935
27/01/2012,REALIZZATO,3400476936
27/01/2012,REALIZZATO,3400476939
27/01/2012,REALIZZATO,3400476940
30/01/2012,REALIZZATO,3400476941
30/01/2012,REALIZZATO,3400477023
30/01/2012,REALIZZATO,3400477026
30/01/2012,REALIZZATO,3400477027
30/01/2012,REALIZZATO,3400477028
30/01/2012,REALIZZATO,3400477029
02/02/2012,REALIZZATO,3400477030
02/02/2012,REALIZZATO,3400477031
02/02/2012,REALIZZATO,3400475243
02/02/2012,REALIZZATO,3400477032
02/02/2012,REALIZZATO,3577367122
02/02/2012,REALIZZATO,3577367080
03/02/2012,REALIZZATO,3577377806
06/02/2012,REALIZZATO,1504612701
06/02/2012,REALIZZATO,2938798052
06/02/2012,REALIZZATO,2950582990
06/02/2012,REALIZZATO,2950582991
06/02/2012,REALIZZATO,2950583001
06/02/2012,REALIZZATO,3993769993
07/02/2012,REALIZZATO,2123868375
07/02/2012,REALIZZATO,2704811263
07/02/2012,REALIZZATO,2297876798
07/02/2012,REALIZZATO,3467236990
07/02/2012,REALIZZATO,3577352235
07/02/2012,REALIZZATO,3034948606
07/02/2012,REALIZZATO,3136600407
07/02/2012,DA REALIZZARE,3749359000
07/02/2012,DA REALIZZARE,1525438703
13/02/2012,DA REALIZZARE,2949358702
13/02/2012,DA REALIZZARE,2949384539
13/02/2012,DA REALIZZARE,2949384550
13/02/2012,DA REALIZZARE,3293219990
13/02/2012,REALIZZATO,3293220171
13/02/2012,REALIZZATO,3293220188
19/02/2012,REALIZZATO,3293220438
22/02/2012,REALIZZATO,3293222501
22/02/2012,REALIZZATO,2949384538
22/02/2012,REALIZZATO,2949384545
23/02/2012,REALIZZATO,303975732
23/02/2012,REALIZZATO,3593386533
23/02/2012,REALIZZATO,3593386534
23/02/2012,REALIZZATO,2938919334
23/02/2012,REALIZZATO,2949401196
23/02/2012,REALIZZATO,3406181458
23/02/2012,REALIZZATO,3946907090
29/02/2012,REALIZZATO,2817467281
29/02/2012,REALIZZATO,2817467288
29/02/2012,REALIZZATO,2817440853
29/02/2012,REALIZZATO,2604876530
29/02/2012,REALIZZATO,1659830994
29/02/2012,REALIZZATO,583010845
29/02/2012,REALIZZATO,1584143404
29/02/2012,REALIZZATO,1586034707
29/02/2012,REALIZZATO,2812313041
23/05/2012,REALIZZATO,2141868572
23/05/2012,REALIZZATO,2053197027
23/05/2012,REALIZZATO,2517724314
23/05/2012,REALIZZATO,1613549418
23/05/2012,REALIZZATO,1617213906
23/05/2012,REALIZZATO,1617213913
23/05/2012,REALIZZATO,2344425833
23/05/2012,REALIZZATO,1617213627
23/05/2012,REALIZZATO,1617213895
24/05/2012,REALIZZATO,1590117598
24/05/2012,REALIZZATO,2573917487
24/05/2012,REALIZZATO,3191436189
24/05/2012,REALIZZATO,3327373720
24/05/2012,REALIZZATO,3328198374
24/05/2012,REALIZZATO,3348353632
24/05/2012,REALIZZATO,3191436190
24/05/2012,REALIZZATO,3368796093
24/05/2012,REALIZZATO,2103477727
24/05/2012,REALIZZATO,2152588713
24/05/2012,REALIZZATO,2258961765
24/05/2012,REALIZZATO,2293894260
24/05/2012,REALIZZATO,2293894343
24/05/2012,REALIZZATO,2275105028
24/05/2012,REALIZZATO,2387996889
24/05/2012,REALIZZATO,1214083488
24/05/2012,REALIZZATO,2557985490
24/05/2012,REALIZZATO,2559310927
24/05/2012,REALIZZATO,2560800699
24/05/2012,REALIZZATO,2560800715
24/05/2012,REALIZZATO,2768357546
24/05/2012,REALIZZATO,1595616381
24/05/2012,REALIZZATO,2374361841
24/05/2012,REALIZZATO,2374361892
24/05/2012,REALIZZATO,2553637273
24/05/2012,REALIZZATO,2378868143
24/05/2012,REALIZZATO,2060154382
24/05/2012,REALIZZATO,2060154386
24/05/2012,REALIZZATO,2060154395
24/05/2012,REALIZZATO,2847303226
24/05/2012,REALIZZATO,3206863606
24/05/2012,REALIZZATO,2293894356
24/05/2012,REALIZZATO,2293894368
24/05/2012,REALIZZATO,2386979122
24/05/2012,REALIZZATO,2118509643
24/05/2012,REALIZZATO,2118548103
24/05/2012,REALIZZATO,2481957948
24/05/2012,REALIZZATO,2060734693
24/05/2012,REALIZZATO,2060734710
24/05/2012,REALIZZATO,2060754490
24/05/2012,REALIZZATO,2060754509
24/05/2012,REALIZZATO,2053032923
24/05/2012,REALIZZATO,2275313284
24/05/2012,REALIZZATO,2734584777
24/05/2012,REALIZZATO,1768195862
29/05/2012,REALIZZATO,2869436461
29/05/2012,REALIZZATO,2869437723
29/05/2012,REALIZZATO,3213886777
29/05/2012,REALIZZATO,3213886783
29/05/2012,REALIZZATO,2711230550
29/05/2012,REALIZZATO,2711230631
29/05/2012,REALIZZATO,2782484291
29/05/2012,REALIZZATO,2711805572
29/05/2012,REALIZZATO,3315487837
30/05/2012,REALIZZATO,1640057922
30/05/2012,REALIZZATO,2422057367
30/05/2012,REALIZZATO,2885267630
30/05/2012,REALIZZATO,2392497071
30/05/2012,REALIZZATO,2889421655
30/05/2012,REALIZZATO,639553670
30/05/2012,REALIZZATO,2596189215
30/05/2012,REALIZZATO,3507785511
30/05/2012,REALIZZATO,2065509762
01/06/2012,REALIZZATO,1820280603
01/06/2012,REALIZZATO,1835088617
01/06/2012,REALIZZATO,1305127699
01/06/2012,REALIZZATO,2184367252
01/06/2012,REALIZZATO,1507572098
01/06/2012,REALIZZATO,2223224009
01/06/2012,REALIZZATO,3581984621
01/06/2012,REALIZZATO,2196482339
01/06/2012,REALIZZATO,2325843712
01/06/2012,REALIZZATO,3634488994
01/06/2012,REALIZZATO,3634488225
01/06/2012,REALIZZATO,878112927
01/06/2012,REALIZZATO,3587963242
01/06/2012,REALIZZATO,3588064030
01/06/2012,REALIZZATO,1082956068
01/06/2012,REALIZZATO,1127231225
01/06/2012,REALIZZATO,2385882159
01/06/2012,REALIZZATO,1835620422
11/06/2012,REALIZZATO,1236409523
11/06/2012,REALIZZATO,3043198447
11/06/2012,REALIZZATO,2951110699
11/06/2012,REALIZZATO,1507568292
11/06/2012,REALIZZATO,1739287390
11/06/2012,REALIZZATO,2099819995
11/06/2012,REALIZZATO,1739200221
11/06/2012,REALIZZATO,1739206289
11/06/2012,REALIZZATO,1739206290
15/06/2012,REALIZZATO,1766729924
15/06/2012,REALIZZATO,1999305699
15/06/2012,REALIZZATO,2477023377
15/06/2012,REALIZZATO,2926060284
15/06/2012,REALIZZATO,2931249042
15/06/2012,REALIZZATO,2931249054
15/06/2012,REALIZZATO,2931249080
15/06/2012,REALIZZATO,2931249903
15/06/2012,REALIZZATO,2931811283
21/06/2012,REALIZZATO,2932440019
21/06/2012,REALIZZATO,2932440022
21/06/2012,REALIZZATO,2932440027
21/06/2012,REALIZZATO,2932440030
21/06/2012,REALIZZATO,2941997826
21/06/2012,REALIZZATO,2941997827
21/06/2012,REALIZZATO,2941997828
21/06/2012,REALIZZATO,2941997829
21/06/2012,REALIZZATO,2942111704
21/06/2012,REALIZZATO,2942111710
21/06/2012,REALIZZATO,2942111711
21/06/2012,REALIZZATO,2942131435
21/06/2012,REALIZZATO,2942131436
21/06/2012,REALIZZATO,2942111703
21/06/2012,REALIZZATO,2942131447
21/06/2012,REALIZZATO,2942145450
21/06/2012,REALIZZATO,2943285200
21/06/2012,REALIZZATO,2943285203
26/06/2012,REALIZZATO,2943285212
26/06/2012,REALIZZATO,2943285213
26/06/2012,REALIZZATO,2943285219
26/06/2012,REALIZZATO,2943285221
26/06/2012,REALIZZATO,2943285224
26/06/2012,REALIZZATO,2943285225
26/06/2012,REALIZZATO,2943287337
26/06/2012,REALIZZATO,2946234968
26/06/2012,REALIZZATO,2946234982
04/07/2012,REALIZZATO,2946234992
04/07/2012,REALIZZATO,2946234993
04/07/2012,REALIZZATO,2946235008
04/07/2012,REALIZZATO,2946235021
04/07/2012,REALIZZATO,2946235028
04/07/2012,REALIZZATO,2946235031
04/07/2012,REALIZZATO,2946273725
04/07/2012,REALIZZATO,2946273727
04/07/2012,REALIZZATO,2946273842
09/07/2012,REALIZZATO,2946273845
09/07/2012,REALIZZATO,2946273881
09/07/2012,REALIZZATO,2184096268
09/07/2012,DA REALIZZARE,2946235030
09/07/2012,DA REALIZZARE,3061741458
09/07/2012,DA REALIZZARE,3061741464
09/07/2012,DA REALIZZARE,3061741470
28/09/2012,DA REALIZZARE,3061741474
28/09/2012,DA REALIZZARE,3109268311
28/09/2012,DA REALIZZARE,3109268320
28/09/2012,DA REALIZZARE,3109271631
28/09/2012,DA REALIZZARE,3112628164
28/09/2012,DA REALIZZARE,3112631029
28/09/2012,DA REALIZZARE,3148619805
01/10/2012,DA REALIZZARE,3148619811
01/10/2012,DA REALIZZARE,3148619817
01/10/2012,DA REALIZZARE,2468479412
01/10/2012,DA REALIZZARE,3376406006
01/10/2012,DA REALIZZARE,3376406017
01/10/2012,DA REALIZZARE,3376406025
05/10/2012,DA REALIZZARE,3376406032
05/10/2012,DA REALIZZARE,3376406033
05/10/2012,DA REALIZZARE,3376406045
05/10/2012,DA REALIZZARE,3376406054
05/10/2012,DA REALIZZARE,3376406063
05/10/2012,DA REALIZZARE,3385573136
05/10/2012,DA REALIZZARE,3385573137
05/10/2012,DA REALIZZARE,3385573139
05/10/2012,DA REALIZZARE,3385573144
05/10/2012,DA REALIZZARE,3385573165
05/10/2012,DA REALIZZARE,3385573169
05/10/2012,DA REALIZZARE,3385573171
08/10/2012,DA REALIZZARE,3385573173
08/10/2012,DA REALIZZARE,3385573190
08/10/2012,DA REALIZZARE,3385576596
08/10/2012,DA REALIZZARE,3385576597
08/10/2012,DA REALIZZARE,3385576599
08/10/2012,REALIZZATO,3385576601
08/10/2012,REALIZZATO,3395001872
08/10/2012,REALIZZATO,3395028478
08/10/2012,REALIZZATO,3395028744
08/10/2012,REALIZZATO,3395028769
08/10/2012,REALIZZATO,3395028809
08/10/2012,REALIZZATO,2205420978
08/10/2012,REALIZZATO,2942111705
08/10/2012,REALIZZATO,3431880650
08/10/2012,REALIZZATO,3448551578
08/10/2012,REALIZZATO,3460184996
08/10/2012,REALIZZATO,3460185004
08/10/2012,REALIZZATO,3460185018
08/10/2012,REALIZZATO,3460185030
08/10/2012,REALIZZATO,3467619097
08/10/2012,REALIZZATO,3478784164
08/10/2012,REALIZZATO,3495174496
08/10/2012,REALIZZATO,3495174512
08/10/2012,REALIZZATO,3495174517
08/10/2012,REALIZZATO,3495174538
08/10/2012,REALIZZATO,3495174566
08/10/2012,REALIZZATO,3460182872
08/10/2012,REALIZZATO,2942111702
08/10/2012,REALIZZATO,3609010740
08/10/2012,REALIZZATO,3609010741
08/10/2012,REALIZZATO,3609010742
08/10/2012,REALIZZATO,3609010743
08/10/2012,REALIZZATO,3624040845
08/10/2012,REALIZZATO,3624342660
08/10/2012,REALIZZATO,3624342873
08/10/2012,REALIZZATO,3624342883
11/10/2012,REALIZZATO,3635955972
11/10/2012,REALIZZATO,3635955977
11/10/2012,REALIZZATO,3719680192
11/10/2012,REALIZZATO,3720084182
11/10/2012,REALIZZATO,3721459937
11/10/2012,REALIZZATO,3721459954
11/10/2012,REALIZZATO,3721459959
11/10/2012,REALIZZATO,3727388361
11/10/2012,REALIZZATO,3727388372
11/10/2012,REALIZZATO,3727390204
11/10/2012,REALIZZATO,3730547980
11/10/2012,REALIZZATO,3730836320
12/10/2012,REALIZZATO,3730854240
12/10/2012,DA REALIZZARE,3730854255
12/10/2012,DA REALIZZARE,3730854299
12/10/2012,DA REALIZZARE,2946273728
12/10/2012,DA REALIZZARE,3980321440
12/10/2012,DA REALIZZARE,1292036145
15/10/2012,DA REALIZZARE,2794712622
