PROGR,DATA_AGGIORNAMENTO,ID_BENEFICIARIO,BENEFICIARIO,TIPOLOGIA_BENEFICIARIO,CODICE_FISCALE,PARTITA_IVA
54599,05/12/2014 10:36:00 AM,10583,LIERNA,AMMINISTRAZIONE LOCALE,83007030139,
104363,01/02/2016 11:03:00 AM,,COMUNE DI GRUMELLO DEL MONTE,AMMINISTRAZIONE LOCALE,00339800161,
222474,29/09/2017 04:11:00 PM,11155,BORGO SAN SIRO,AMMINISTRAZIONE LOCALE,00000000000,
104458,01/09/2016 05:25:00 PM,10289,COMUNE DI CARPENEDOLO,AMMINISTRAZIONE LOCALE,00750840175,
16301,05/09/2013 03:26:00 PM,,Comune di Vezza d'Oglio (BS),AMMINISTRAZIONE LOCALE,00882960172,00584970982
96463,12/11/2015 11:12:00 AM,,COMUNE DI LOZIO,AMMINISTRAZIONE LOCALE,01127210175,
161487,15/02/2017 03:43:00 PM,,Comune di Cinisello Balsamo (MI),AMMINISTRAZIONE LOCALE,01971350150,
34727,26/11/2015 12:03:00 PM,11607,Provincia di Pavia,AMMINISTRAZIONE LOCALE,80000030181,80000030181
99662,26/11/2015 12:01:00 PM,,Provincia di Monza Brianza,AMMINISTRAZIONE LOCALE,94616010156,
51681,17/11/2014 05:49:00 PM,10335,ISEO,AMMINISTRAZIONE LOCALE,00451300172,
27351,15/11/2013 11:27:00 AM,,DOMASO,AMMINISTRAZIONE LOCALE,00688470137,
207435,11/04/2017 04:06:00 PM,,COMUNE DI MILANO,AMMINISTRAZIONE LOCALE,01199250158,
236707,30/11/2017 09:26:00 AM,11511,COMUNE DI MORNAGO,AMMINISTRAZIONE LOCALE,00249580127,00249580127
14477,06/08/2013 03:32:00 PM,,COMUNE DI MADESIMO,AMMINISTRAZIONE LOCALE,00133750141,00133750141
77517,23/12/2015 02:57:00 PM,,PROVINCIA DI BRESCIA,AMMINISTRAZIONE LOCALE,80008750178,
40863,25/06/2014 08:54:00 AM,10149,COMUNE DI OLMO AL BREMBO,AMMINISTRAZIONE LOCALE,85000650169,00654490168
224237,17/10/2017 10:24:00 AM,10293,COMUNE DI CASTENEDOLO,AMMINISTRAZIONE LOCALE,00464720176,00464720176
222415,29/09/2017 03:56:00 PM,11063,PIOLTELLO,AMMINISTRAZIONE LOCALE,00000000000,
98334,20/11/2015 04:24:00 PM,10276,COMUNE DI BRANDICO,AMMINISTRAZIONE LOCALE,00956690176,
230958,28/11/2017 11:34:00 AM,11475,COMUNE DI GALLARATE,AMMINISTRAZIONE LOCALE,80034840167,
93497,10/11/2017 11:43:00 AM,950822,CITTA' METROPOLITANA DI MILANO,AMMINISTRAZIONE LOCALE,08911820960,08911820960
59191,27/01/2015 12:40:00 PM,662923,COMUNITA' MONTANA VALLI DEL LARIO E DEL CERESIO,AMMINISTRAZIONE LOCALE,84000830137,01577460130
186733,14/03/2017 06:27:00 PM,10371,COMUNE DI ODOLO,AMMINISTRAZIONE LOCALE,00639430172,00574110987
52238,21/11/2014 11:10:00 AM,,COMUNE DI GORLA MINORE,AMMINISTRAZIONE LOCALE,00226510121,
101207,02/12/2015 12:14:00 PM,10192,COMUNE DI SAN PAOLO D'ARGON (BG),AMMINISTRAZIONE LOCALE,00288640162,00288640162
238098,11/12/2017 11:57:00 AM,10351,COMUNE DI COMO,AMMINISTRAZIONE LOCALE,80005370137,
156147,30/11/2016 12:48:00 PM,145905,UNIONE DEI COMUNI DELL'ALTA VALLE VERSA,AMMINISTRAZIONE LOCALE,93007120186,01890510181
159353,23/12/2016 03:15:00 PM,10988,COMUNE DI DESIO,AMMINISTRAZIONE LOCALE,00834770158,00696660968
77807,31/03/2015 10:03:00 AM,,COMUNE DI BUSTO GAROLFO,AMMINISTRAZIONE LOCALE,00873100150,
91295,25/01/2016 04:00:00 PM,,ODOLO,AMMINISTRAZIONE LOCALE,00639430172,
86107,29/07/2015 03:34:00 PM,,RONCADELLE,AMMINISTRAZIONE LOCALE,80018470171,
97429,20/11/2015 02:52:00 PM,10560,COMUNE DI GARBAGNATE MONASTERO,AMMINISTRAZIONE LOCALE,83002960132,
212256,12/06/2017 05:12:00 PM,10025,COMUNE DI BERGAMO,AMMINISTRAZIONE LOCALE,80034840167,00636460164
17757,20/09/2013 12:03:00 PM,10879,COMUNE DI SERMIDE (MN),AMMINISTRAZIONE LOCALE,00309830206,00309830206
131363,05/05/2016 02:50:00 PM,10979,COMUNE CORNOVECCHIO,AMMINISTRAZIONE LOCALE,82503640151,
221656,29/09/2017 09:27:00 AM,11444,CASORATE SEMPIONE,AMMINISTRAZIONE LOCALE,00341710127,
46631,12/08/2014 04:33:00 PM,49450911,PROVINCIA DI LECCO,AMMINISTRAZIONE LOCALE,92013170136,02193970130
129310,11/02/2016 11:17:00 AM,,CASTELLANZA,AMMINISTRAZIONE LOCALE,00252280128,
145307,13/10/2016 02:37:00 PM,,TREZZO SULL ADDA,AMMINISTRAZIONE LOCALE,83502130152,
46014,06/08/2014 11:49:00 AM,,COMUNE DI BOLLATE,AMMINISTRAZIONE LOCALE,00801220153,
186745,14/03/2017 06:37:00 PM,11061,PIEVE EMANUELE,AMMINISTRAZIONE LOCALE,80104290152,04239310156
44980,28/07/2014 07:28:00 PM,,PROVINCIA DI MONZA E DELLA BRIANZA,AMMINISTRAZIONE LOCALE,94616010156,06894190963
239193,13/12/2017 03:36:00 PM,958134,Unione dei Comuni Castelli Morenici,AMMINISTRAZIONE LOCALE,90025280208,
130373,14/03/2016 03:02:00 PM,,VIGANO SAN MARTINO,AMMINISTRAZIONE LOCALE,00566570164,
86353,29/07/2015 06:55:00 PM,11438,COMUNE DI CARNAGO,AMMINISTRAZIONE LOCALE,00308180124,00308180124
222979,02/10/2017 03:49:00 PM,10343,LONGHENA,AMMINISTRAZIONE LOCALE,00000000000,
103295,18/12/2015 07:38:00 PM,,COMUNE DI VENDROGNO,AMMINISTRAZIONE LOCALE,00651590135,
47302,17/09/2014 10:21:00 AM,662047,COMUNITA' MONTANA DEI LAGHI BERGAMASCHI,AMMINISTRAZIONE LOCALE,90029430163,03606190167
134839,27/07/2016 10:26:00 AM,,BELGIOIOSO,AMMINISTRAZIONE LOCALE,00397220187,
158995,21/12/2016 01:12:00 PM,11006,COMUNE DI LEGNANO (MI),AMMINISTRAZIONE LOCALE,00807960158,00807960158
54244,05/12/2014 10:36:00 AM,10213,SUISIO,AMMINISTRAZIONE LOCALE,00321890162,
49481,30/10/2014 03:46:00 PM,11070,RHO,AMMINISTRAZIONE LOCALE,00893240150,
90468,08/09/2015 03:17:00 PM,,COMUNE DI LECCO,AMMINISTRAZIONE LOCALE,00623530136,
85996,29/07/2015 03:34:00 PM,,OLGINATE,AMMINISTRAZIONE LOCALE,00634350136,
49284,30/10/2014 11:14:00 AM,10915,COMUNE DI BOLLATE,AMMINISTRAZIONE LOCALE,00801220153,00801220153
146092,28/10/2016 01:48:00 PM,11604,PROVINCIA DI CREMONA,AMMINISTRAZIONE LOCALE,80002130195,00291650190
38821,13/05/2014 09:43:00 AM,13612,CM VALTELLINA DI SONDRIO - RN BOSCO DEI BORDIGHI,AMMINISTRAZIONE LOCALE,93001950141,
97825,19/01/2016 11:58:00 AM,11474,COMUNE DI FERRERA DI VARESE,AMMINISTRAZIONE LOCALE,00561750126,
129198,09/02/2016 06:31:00 PM,,COMUNE DI LECCO,AMMINISTRAZIONE LOCALE,00623530136,00623530136
31735,12/12/2013 10:34:00 AM,11034,Comune di Milano,AMMINISTRAZIONE LOCALE,01199250158,01199250158
51632,17/11/2014 05:49:00 PM,10557,FIGINO SERENZA,AMMINISTRAZIONE LOCALE,00415540137,
50966,17/11/2014 05:46:00 PM,11034,MILANO,AMMINISTRAZIONE LOCALE,01199250158,
101854,09/12/2015 11:42:00 AM,10313,COMUNE DI CORTENO GOLGI,AMMINISTRAZIONE LOCALE,00855280178,
220477,30/08/2017 06:08:00 PM,10848,COMUNE DI MANTOVA,AMMINISTRAZIONE LOCALE,00189800204,
212254,12/06/2017 05:12:00 PM,13612,CM VALTELLINA DI SONDRIO,AMMINISTRAZIONE LOCALE,93001950141,93001950141
222838,02/10/2017 12:29:00 PM,10199,SEDRINA,AMMINISTRAZIONE LOCALE,00000000000,
76134,13/02/2015 11:26:00 AM,663836,COMUNITA' MONTANA LARIO ORIENTALE - VALLE SAN MARTINO,AMMINISTRAZIONE LOCALE,92058600138,
48370,08/10/2014 03:51:00 PM,10356,COMUNE DI MARONE,AMMINISTRAZIONE LOCALE,80015730171,80015730171
97400,20/11/2015 02:52:00 PM,10453,COMUNE DI VIONE,AMMINISTRAZIONE LOCALE,00837510171,
58860,23/09/2016 09:44:00 AM,,COMUNE DI ALGUA,AMMINISTRAZIONE LOCALE,85001070169,
129197,09/02/2016 06:31:00 PM,,COMUNE DI GORGONZOLA,AMMINISTRAZIONE LOCALE,00861930154,00861930154
33596,03/02/2014 12:26:00 PM,,COMUNE DI BAGNATICA,AMMINISTRAZIONE LOCALE,00720170166,
157416,05/12/2016 11:43:00 AM,10398,COMUNE DI PONTE DI LEGNO,AMMINISTRAZIONE LOCALE,00649470176,00574390985
18202,30/09/2013 06:32:00 PM,,COMUNITA' MONTANA DELL'OLTREPO' PAVESE,AMMINISTRAZIONE LOCALE,95002050185,95002050185
211581,24/05/2017 04:09:00 PM,,COMUNE DI GALLARATE,AMMINISTRAZIONE LOCALE,00560180127,
85573,29/07/2015 03:34:00 PM,,CARAVATE,AMMINISTRAZIONE LOCALE,00227400124,
85415,29/07/2015 03:34:00 PM,,ALBINO,AMMINISTRAZIONE LOCALE,00224380162,
38150,05/05/2014 02:58:00 PM,,COMUNE DI ALBAVILLA,AMMINISTRAZIONE LOCALE,00688320134,
98297,18/01/2016 03:47:00 PM,11107,COMUNE DI TERRANOVA DEI PASSERINI,AMMINISTRAZIONE LOCALE,03541000968,
49300,30/10/2014 11:14:00 AM,11061,COMUNE DI PIEVE EMANUELE,AMMINISTRAZIONE LOCALE,80104290152,04239310156
47001,08/09/2014 03:27:00 PM,118650,PLIS Rio Vallone,AMMINISTRAZIONE LOCALE,94017300156,94017300156
104497,01/09/2016 05:16:00 PM,10357,COMUNE DI MAZZANO,AMMINISTRAZIONE LOCALE,00855610176,
98825,20/11/2015 04:24:00 PM,10485,COMUNE DI BRENNA,AMMINISTRAZIONE LOCALE,81000430132,
76139,13/02/2015 01:51:00 PM,10777,COMUNE DI PIEVE D'OLMI,AMMINISTRAZIONE LOCALE,80003290196,
85411,29/07/2015 03:34:00 PM,,ALBANO SANT ALESSANDRO,AMMINISTRAZIONE LOCALE,00684170160,
51319,17/11/2014 05:47:00 PM,10885,VILLA POMA,AMMINISTRAZIONE LOCALE,00418390209,
40376,30/12/2015 02:42:00 PM,11161,COMUNE DI BRONI,AMMINISTRAZIONE LOCALE,84000230189,
55133,09/12/2014 04:24:00 PM,10455,COMUNE DI VOBARNO,AMMINISTRAZIONE LOCALE,00561480989,00561480989
130135,26/02/2016 11:41:00 AM,10455,COMUNE DI VOBARNO,AMMINISTRAZIONE LOCALE,00435460175,00435460175
15034,14/08/2013 08:23:00 PM,11431,Comune di Busto Arsizio,AMMINISTRAZIONE LOCALE,00224000125,00224000125
98543,24/08/2016 11:02:00 AM,11495,COMUNE DI LONATE POZZOLO,AMMINISTRAZIONE LOCALE,00392890125,
29589,03/12/2013 01:16:00 PM,11480,Comune di GERENZANO,AMMINISTRAZIONE LOCALE,00236840120,00236840120
101968,09/12/2015 04:59:00 PM,11608,PROVINCIA SONDRIO,AMMINISTRAZIONE LOCALE,80002950147,00603930140
96287,18/11/2015 09:55:00 AM,11609,PROVINCIA DI VARESE,AMMINISTRAZIONE LOCALE,80000710121,80000710121
86325,29/07/2015 03:34:00 PM,,ZANICA,AMMINISTRAZIONE LOCALE,00325260164,
186973,16/03/2017 11:50:00 AM,257486,CONSORZIO DI  BONIFICA MUZZA BASSA LODIGIANA,AMMINISTRAZIONE LOCALE,90502340152,
54056,05/12/2014 10:36:00 AM,10975,CORNAREDO,AMMINISTRAZIONE LOCALE,02981700152,
33593,03/02/2014 12:26:00 PM,,Comune di Inveruno,AMMINISTRAZIONE LOCALE,01490870159,
97906,20/11/2015 03:35:00 PM,10740,COMUNE DI CREMOSANO,AMMINISTRAZIONE LOCALE,00308190198,
8103,10/06/2013 06:08:00 PM,10875,COMUNE DI SAN GIORGIO DI MANTOVA,AMMINISTRAZIONE LOCALE,80004610202,
92977,05/10/2015 02:15:00 PM,,PEGOGNAGA,AMMINISTRAZIONE LOCALE,00217110204,
158966,22/12/2016 04:39:00 PM,11608,PROVINCIA DI SONDRIO,AMMINISTRAZIONE LOCALE,80002950147,
8168,10/06/2013 06:08:00 PM,,COMUNE DI PONTE DI LEGNO,AMMINISTRAZIONE LOCALE,00649470176,
237939,06/12/2017 11:58:00 AM,10279,COMUNE DI BRESCIA,AMMINISTRAZIONE LOCALE,00761890177,00761890177
53143,02/12/2014 04:45:00 PM,13606,CM VALLE SABBIA,AMMINISTRAZIONE LOCALE,87002810171,00726670987
96461,12/11/2015 10:37:00 AM,,PROVINCIA DI SONDRIO,AMMINISTRAZIONE LOCALE,80002950147,00603930140
18016,24/09/2013 03:42:00 PM,11208,Comune di Gerenzago,AMMINISTRAZIONE LOCALE,00493730188,00493730188
47558,24/09/2014 12:43:00 PM,10093,COMUNE DI CUSIO,AMMINISTRAZIONE LOCALE,85002390160,01214250167
94878,23/10/2015 10:15:00 AM,,MONTEBELLO DELLA BATTAGLIA,AMMINISTRAZIONE LOCALE,00273900183,00273900183
6375,10/06/2013 06:07:00 PM,,COMUNE DI VALLE SALIMBENE,AMMINISTRAZIONE LOCALE,00466530185,
216222,21/07/2017 11:16:00 AM,,Comune di Palazzo Pignano,AMMINISTRAZIONE LOCALE,00305120198,
90541,22/10/2015 10:47:00 AM,11110,COMUNE DI TREZZO SULL’ADDA,AMMINISTRAZIONE LOCALE,83502130152,03252770155
104565,01/02/2016 11:03:00 AM,,COMUNITA' MONTANA VALTELLINA DI MORBEGNO,AMMINISTRAZIONE LOCALE,91000680149,
240331,17/01/2018 06:15:00 PM,11603,PROVINCIA DI COMO,AMMINISTRAZIONE LOCALE,80004650133,00606750131
187144,24/03/2017 04:37:00 PM,820481,COMUNE DI GRAVEDONA ED UNITI,AMMINISTRAZIONE LOCALE,03322340138,
27490,19/11/2013 11:38:00 AM,,COMUNE DI ALZANO LOMBARDO,AMMINISTRAZIONE LOCALE,00220080162,
95485,28/10/2015 04:34:00 PM,11105,SULBIATE,AMMINISTRAZIONE LOCALE,87003530158,
5987,02/01/2014 12:01:00 PM,10313,Comune di Corteno Golgi,AMMINISTRAZIONE LOCALE,00855280178,
134871,27/07/2016 10:26:00 AM,,CINISELLO BALSAMO,AMMINISTRAZIONE LOCALE,01971350150,
92869,05/10/2015 02:15:00 PM,,MAGNACAVALLO,AMMINISTRAZIONE LOCALE,80004910206,
97647,14/01/2016 05:18:00 PM,10244,COMUNE DI VILLA DI SERIO,AMMINISTRAZIONE LOCALE,80023530167,
51302,17/11/2014 05:47:00 PM,10884,VIADANA,AMMINISTRAZIONE LOCALE,83000670204,
98352,21/01/2016 11:58:00 AM,10306,COMUNE DI COCCAGLIO,AMMINISTRAZIONE LOCALE,00821390176,
52794,22/12/2017 02:30:00 PM,11027,COMUNE DI MEDIGLIA,AMMINISTRAZIONE LOCALE,84503580155,
52066,17/11/2014 05:49:00 PM,10800,SONCINO,AMMINISTRAZIONE LOCALE,00177340197,
90544,09/09/2015 11:02:00 AM,10597,COMUNE DI MANDELLO DEL LARIO (LC),AMMINISTRAZIONE LOCALE,00629950130,00629950130
149685,16/11/2016 12:26:00 PM,10492,COMUNE DI CADORAGO,AMMINISTRAZIONE LOCALE,00696750132,00696750132
134932,27/07/2016 10:26:00 AM,,PANTIGLIATE,AMMINISTRAZIONE LOCALE,80108750151,
13901,01/08/2013 11:20:00 AM,,Comunità Montana Valle Camonica,AMMINISTRAZIONE LOCALE,01766100984,01766100984
97790,19/01/2016 11:46:00 AM,11421,COMUNE DI BODIO LOMNAGO,AMMINISTRAZIONE LOCALE,00250430121,
226930,09/11/2017 03:55:00 PM,10385,COMUNE DI POLPENAZZE DEL GARDA,AMMINISTRAZIONE LOCALE,00581050986,
52121,17/11/2014 05:49:00 PM,11539,VARESE,AMMINISTRAZIONE LOCALE,00441340122,
13944,01/08/2013 03:10:00 PM,11088,Comune di Santo Stefano Ticino,AMMINISTRAZIONE LOCALE,,02941420156
104074,01/02/2016 11:03:00 AM,,COMUNE DI GROPELLO CAIROLI,AMMINISTRAZIONE LOCALE,00464180181,
137183,02/09/2016 12:21:00 PM,,COMUNE DI ERVE,AMMINISTRAZIONE LOCALE,00326840162,00326840162
45563,01/08/2014 01:08:00 PM,222654,UC Foedus,AMMINISTRAZIONE LOCALE,93037900201,93037900201
104067,01/02/2016 11:03:00 AM,,COMUNE DI COPIANO,AMMINISTRAZIONE LOCALE,00475470183,
46083,06/08/2014 02:28:00 PM,,COMUNE DI BORGARELLO,AMMINISTRAZIONE LOCALE,00460880180,
38036,29/04/2014 10:28:00 AM,,UNIONE DI COMUNI LOMBARDA TERRE DI FRONTIERA,AMMINISTRAZIONE LOCALE,02692070135,
104694,30/08/2016 05:28:00 PM,10802,COMUNE DI SOSPIRO,AMMINISTRAZIONE LOCALE,00304310196,
54192,05/12/2014 10:36:00 AM,10119,GORNO,AMMINISTRAZIONE LOCALE,00652160169,
86226,29/07/2015 03:34:00 PM,,TRESCORE CREMASCO,AMMINISTRAZIONE LOCALE,00265370197,
13768,29/07/2013 05:40:00 PM,11237,COMUNE DI MONTU' BECCARIA,AMMINISTRAZIONE LOCALE,84000690184,00483600185
146184,02/11/2016 02:16:00 PM,10377,OSPITALETTO,AMMINISTRAZIONE LOCALE,00796430171,00796430171
54229,05/12/2014 10:36:00 AM,10186,ROMANO DI LOMBARDIA,AMMINISTRAZIONE LOCALE,00622580165,
98538,25/01/2016 02:30:00 PM,11480,COMUNE DI GERENZANO,AMMINISTRAZIONE LOCALE,00236840120,
104646,01/02/2016 11:03:00 AM,,COMUNE DI ORSENIGO,AMMINISTRAZIONE LOCALE,00711250134,
186371,16/11/2017 10:34:00 AM,663836,COMUNITA' MONTANA LARIO ORIENTALE - VALLE SAN MARTINO,AMMINISTRAZIONE LOCALE,92058600138,
98458,25/01/2016 11:26:00 AM,11178,COMUNE DI CAVA MANARA,AMMINISTRAZIONE LOCALE,00467120184,
87926,03/08/2015 10:45:00 AM,553797,COMUNE DI CASALMAGGIORE,AMMINISTRAZIONE LOCALE,00304940190,
96626,13/11/2015 12:49:00 PM,46404,COMUNE DI BORGO PRIOLO,AMMINISTRAZIONE LOCALE,00468890181,
222679,02/10/2017 12:29:00 PM,10033,BORGO DI TERZO,AMMINISTRAZIONE LOCALE,00000000000,
97881,18/01/2016 02:09:00 PM,10705,COMUNE DI AGNADELLO,AMMINISTRAZIONE LOCALE,82001370194,
5998,10/06/2013 06:07:00 PM,10344,Comune di Losine,AMMINISTRAZIONE LOCALE,00855390175,00583050984
97949,18/01/2016 02:54:00 PM,10814,COMUNE DI VAIANO CREMASCO,AMMINISTRAZIONE LOCALE,00122230196,
53838,05/12/2014 10:36:00 AM,11449,CASTELSEPRIO,AMMINISTRAZIONE LOCALE,00346170129,
86166,29/07/2015 03:34:00 PM,,SERMIDE,AMMINISTRAZIONE LOCALE,00309830206,
157370,05/12/2016 11:43:00 AM,10467,Argegno,AMMINISTRAZIONE LOCALE,80010240135,00695450130
50775,17/11/2014 05:46:00 PM,10317,DESENZANO DEL GARDA,AMMINISTRAZIONE LOCALE,00575230172,
85882,29/07/2015 03:34:00 PM,,LONATO,AMMINISTRAZIONE LOCALE,00832210173,
240303,16/01/2018 03:36:00 PM,,COMUNE DI CERNUSCO SUL NAVIGLIO,AMMINISTRAZIONE LOCALE,01217430154,
86020,29/07/2015 03:34:00 PM,,PALAZZO PIGNANO,AMMINISTRAZIONE LOCALE,00305120198,
87922,03/08/2015 12:36:00 PM,334135,COMUNE DI PALAZZOLO SULL'OGLIO,AMMINISTRAZIONE LOCALE,00400530176,00559720982
95790,02/11/2015 03:00:00 PM,,COMUNITÀ MONTANA VALLE TROMPIA,AMMINISTRAZIONE LOCALE,83001710173,
51133,17/11/2014 05:47:00 PM,11069,RESCALDINA,AMMINISTRAZIONE LOCALE,01633080153,
223573,13/10/2017 09:02:00 AM,,COMUNE DI CEVO,AMMINISTRAZIONE LOCALE,00959860172,
130192,03/03/2016 11:49:00 AM,11132,COMUNE DI VIMODRONE (MI),AMMINISTRAZIONE LOCALE,07430220157,00858950967
51850,17/11/2014 05:49:00 PM,11034,MILANO,AMMINISTRAZIONE LOCALE,01199250158,
97607,20/11/2015 03:35:00 PM,10186,COMUNE DI ROMANO DI LOMBARDIA,AMMINISTRAZIONE LOCALE,00622580165,
99518,25/11/2015 03:31:00 PM,11489,ISPRA,AMMINISTRAZIONE LOCALE,00309310126,
54492,05/12/2014 10:36:00 AM,10746,FIESCO,AMMINISTRAZIONE LOCALE,00304300197,
223599,13/10/2017 09:02:00 AM,,comune di marone,AMMINISTRAZIONE LOCALE,80015730171,
54117,05/12/2014 10:36:00 AM,11110,TREZZO SULL ADDA,AMMINISTRAZIONE LOCALE,83502130152,
149901,17/11/2016 06:24:00 PM,,CITTA' METROPOLITANA DI MILANO,AMMINISTRAZIONE LOCALE,08911820960,
16550,10/09/2013 03:38:00 PM,10497,COMUNE DI MILANO,AMMINISTRAZIONE LOCALE,01199250158,01199250158
54415,05/12/2014 10:36:00 AM,11205,GAMBOLO,AMMINISTRAZIONE LOCALE,85001890186,
212908,26/06/2017 04:27:00 PM,,COMUNE DI INVERUNO,AMMINISTRAZIONE LOCALE,01490870159,
222055,29/09/2017 12:53:00 PM,10664,SAN NAZZARO VAL CAVARGNA,AMMINISTRAZIONE LOCALE,00000000000,
85798,29/07/2015 03:34:00 PM,,GAVERINA TERME,AMMINISTRAZIONE LOCALE,80016760169,
104213,17/10/2016 03:34:00 PM,10974,COMUNE DI CORMANO,AMMINISTRAZIONE LOCALE,01086310156,
228171,17/11/2017 11:12:00 AM,,MARTINENGO,AMMINISTRAZIONE LOCALE,00683770168,
145848,28/10/2016 12:43:00 PM,158196,UNIONE DEI COMUNI LOMBARDA OLTREPADANI,AMMINISTRAZIONE LOCALE,01850560184,01850560184
134855,27/07/2016 10:26:00 AM,,CANEGRATE,AMMINISTRAZIONE LOCALE,00229710165,
102899,15/12/2015 04:27:00 PM,113958,PROVINCIA DI LECCO,AMMINISTRAZIONE LOCALE,92013170136,
91283,21/09/2015 02:36:00 PM,,MANTELLO,AMMINISTRAZIONE LOCALE,00099000143,
30558,17/02/2014 05:59:00 PM,,COMUNE DI CHIARI,AMMINISTRAZIONE LOCALE,00606990174,
47333,17/09/2014 04:42:00 PM,10106,COMUNE DI FOPPOLO,AMMINISTRAZIONE LOCALE,00637310160,00637310160
98847,20/11/2015 04:24:00 PM,10577,COMUNE DI LAMBRUGO,AMMINISTRAZIONE LOCALE,00627760135,
240266,12/01/2018 11:11:00 AM,954761,UCL Alta Val Trompia - La via del Ferro,AMMINISTRAZIONE LOCALE,03557420985,
222701,02/10/2017 12:29:00 PM,10058,CARVICO,AMMINISTRAZIONE LOCALE,00000000000,
